Cl,Cd,Volume
0.5985,0.01056,0.09452719
0.5935,0.01103,0.100283232
0.5672,0.01209,0.116711223
0.2185,0.00823,0.079695331
-0.0222,0.01803,0.177641181
0.0001,0.00719,0.060646043
0,0.00921,0.081035499
0,0.00898,0.09177896
-0.0001,0.00899,0.091735784
-0.0001,0.00899,0.091735784
1.3032,0.02089,0.087619471
0.7802,0.0133,0.087607193
0.6448,0.00781,0.053442964
0.5349,0.00974,0.085627661
0.6377,0.00968,0.088557558
0.5589,0.01212,0.119532388
0.2801,0.01007,0.106498597
0,0.00695,0.06808448
-0.0001,0.00798,0.081457049
0.9828,0.0143,0.093373038
0.8649,0.01325,0.106690123
-0.0007,0.00613,0.05490124
0.3673,0.0124,0.094201593
0.1975,0.01584,0.159299432
0.0257,0.01584,0.172902213
0.3122,0.0094,0.094810546
-0.0003,0.00701,0.062764256
-0.0002,0.00778,0.075118272
0.3623,0.00996,0.098353333
0.1771,0.01418,0.150122456
0.4784,0.00894,0.082125966
0.5494,0.00972,0.090908496
0.5496,0.01016,0.096760201
0.5355,0.01176,0.113856373
0.3202,0.01373,0.141247182
0,0.00895,0.085811436
0,0.00914,0.093165209
0.5061,0.01105,0.112058181
0.5967,0.0103,0.087423734
0.1031,0.00784,0.067613038
0.1717,0.00705,0.056069583
0.1952,0.01142,0.056516482
0.0531,0.0054,0.018512908
0.4453,0.00907,0.045013958
0.5879,0.00952,0.058354764
0.6014,0.0102,0.044140063
0.5533,0.01046,0.057594408
0.6149,0.01027,0.048740334
0.5346,0.01108,0.065647904
0.7555,0.01089,0.062412836
0.6148,0.01029,0.05830695
0.8851,0.01128,0.071560867
0.9813,0.01629,0.107499551
0.8894,0.01617,0.115347506
0.9837,0.01556,0.108730396
0.8759,0.01482,0.115970294
1.2115,0.0127,0.060027976
1.3082,0.01516,0.074001985
0.5503,0.01563,0.062426677
0.8197,0.0111,0.07072318
1.2637,0.01521,0.089799058
0.5164,0.01262,0.120238254
0.4932,0.01085,0.060853964
0.5123,0.01338,0.116045684
0.4887,0.01092,0.0626236
0.6925,0.01358,0.108330584
0.7174,0.01367,0.107278601
0.4108,0.01175,0.112740268
0.5141,0.01177,0.085071569
0.5079,0.01076,0.059674808
0.422,0.01191,0.0581903
0.5758,0.0108,0.055933695
0.8866,0.01048,0.061059046
0.7097,0.01132,0.041074432
0.4059,0.01127,0.112819128
0.5725,0.00933,0.041977756
0.5061,0.01526,0.131637028
0.3954,0.01378,0.133538156
0.5735,0.01698,0.129216123
0.5146,0.0107,0.066281185
0.6356,0.01237,0.098045537
0.564,0.01782,0.13435496
0.543,0.01014,0.046293729
0.5392,0.01253,0.039177232
0.5593,0.00949,0.04342479
-0.0001,0.00792,0.086386813
0,0.0106,0.097692873
0.6571,0.01263,0.101606411
0.6087,0.01177,0.08326866
0.5357,0.01304,0.119498517
0.6455,0.01455,0.115549811
0.3646,0.01233,0.130547909
0.5338,0.01093,0.100120697
0.692,0.01112,0.051633029
0.0133,0.00855,0.070225507
0.5915,0.01678,0.140385043
0.522,0.01251,0.115986549
0.7047,0.01069,0.061160148
0.7167,0.00994,0.04896148
0,0.01153,0.137138819
0.5621,0.01213,0.098488868
0.5377,0.01054,0.090937201
1.2046,0.01816,0.09872877
0.4154,0.00907,0.050032027
0.4881,0.01001,0.09834378
0.7765,0.00896,0.031641333
0.7823,0.00968,0.062695932
0.8099,0.011,0.079812553
0.7902,0.01259,0.100655761
0.9335,0.01007,0.042844332
0.922,0.01062,0.062929303
0.8208,0.01318,0.101084547
0.6253,0.01531,0.108516907
0.5459,0.01282,0.117740802
0.4892,0.01144,0.112286542
0.6084,0.01315,0.110314425
0.5539,0.01365,0.099640801
0.503,0.01516,0.118604263
0.5267,0.01599,0.140033548
0.6674,0.01307,0.107597321
0.7145,0.01054,0.083086315
0.7027,0.01357,0.080856824
0.8624,0.01378,0.095672965
0.5746,0.00869,0.071370178
0.3185,0.00806,0.080869557
0.2274,0.01031,0.036164996
0.6106,0.01065,0.082178044
0.3275,0.00678,0.060914054
0.7947,0.01174,0.089859486
0.4629,0.0094,0.055935311
0.21,0.00721,0.06832974
0.564,0.01289,0.113376555
0.6278,0.01213,0.099315197
0.5647,0.01064,0.070909104
0.2412,0.00861,0.094566684
0.65,0.01399,0.115066883
0.6232,0.01214,0.099399432
0.5142,0.01613,0.134317606
0.3731,0.00973,0.092277986
0.9261,0.01622,0.08225437
0.6092,0.01221,0.096108591
0.5817,0.01286,0.117568207
0.6449,0.01093,0.086581976
0.3943,0.00769,0.071866265
0.4976,0.0125,0.112087643
0.5727,0.01079,0.081443629
0.5063,0.01243,0.111877725
0.5795,0.01097,0.087243143
0.5343,0.01338,0.102430776
0.1856,0.01123,0.134311382
0.3581,0.00961,0.091626409
0.6258,0.00993,0.072355385
0.1125,0.01008,0.096943079
0.6088,0.01025,0.086910567
0.0876,0.01039,0.073759599
0.3325,0.0125,0.132143439
0.4608,0.00903,0.08388889
0.4974,0.01229,0.111376245
0.3903,0.01701,0.13967522
-0.0001,0.0237,0.198531427
0.5809,0.01092,0.088641706
-0.0001,0.00708,0.06401881
-0.0001,0.00646,0.051938141
0.1763,0.00713,0.063900773
0.1769,0.00786,0.076655796
0.2645,0.00723,0.063920611
0.2671,0.00761,0.07042065
0.2657,0.00794,0.07666198
0.2609,0.00673,0.054852035
0.2637,0.00685,0.057531275
0.2642,0.00687,0.057389376
0.3513,0.00736,0.063955657
0.3517,0.00807,0.0767178
0.4426,0.00789,0.07035042
0.4397,0.00824,0.076611427
0.4944,0.01068,0.105589437
0.5272,0.00842,0.076644812
0.5254,0.0088,0.083001372
0.5182,0.0092,0.089467768
0.511,0.00964,0.095857818
0.6136,0.00869,0.076661599
0.6029,0.00945,0.089203174
0.5518,0.01132,0.11469111
0.1167,0.00875,0.086278158
0.7135,0.01422,0.067026878
-0.0002,0.00762,0.081921893
0,0.00877,0.070799802
0.3879,0.00815,0.074321727
0.0868,0.01155,0.116288225
0.17,0.00924,0.097575474
0.1758,0.00847,0.082713458
0.2665,0.00878,0.095163794
0.9084,0.01224,0.098581397
0.1108,0.01221,0.082057855
0.2897,0.00782,0.07856246
0,0.00815,0.08608211
0.3845,0.0086,0.086443747
0.2942,0.00839,0.085225556
0.3371,0.01012,0.113354378
0.3639,0.01067,0.112474992
0.2016,0.01192,0.139569194
-0.0001,0.0071,0.05428967
-0.0001,0.00753,0.067432754
-0.0001,0.00814,0.080628035
0,0.00918,0.099654686
0.2939,0.00824,0.082639661
0.408,0.01105,0.083379423
0.4037,0.01182,0.083058084
0.0002,0.00749,0.082427726
0.1439,0.01218,0.069850722
0.1897,0.01345,0.083826011
0.2573,0.00932,0.097194528
0.396,0.01119,0.105247078
0.1111,0.00934,0.093393811
-0.0037,0.00842,0.079884493
0.3701,0.00798,0.077037274
0.5918,0.00852,0.061135991
0.752,0.01751,0.139963924
0.3796,0.00874,0.085124548
0.5181,0.00886,0.085979141
0.2908,0.00838,0.064443886
-0.1879,0.0076,0.061768702
0.0583,0.00715,0.063201839
0.0102,0.00944,0.094752718
-0.0084,0.00964,0.098057527
-0.0285,0.00985,0.101357417
0.2448,0.00949,0.106553608
0.4415,0.01267,0.074429
0.3699,0.00895,0.093780623
0.3479,0.00993,0.10419252
0.291,0.00836,0.088242025
0.2678,0.00998,0.113093707
-0.0001,0.00648,0.061108864
0,0.00768,0.08135271
0.0088,0.00699,0.071420458
0.0031,0.0075,0.081577982
0.0063,0.00745,0.080960591
0.257,0.009,0.09487273
0.2473,0.00947,0.101649237
0,0.00718,0.064817835
0,0.00778,0.077582229
